Block_ID Up Down Public_Key_Requester Total_Up_Requester Total_Down_Requester Sequence_Number_Requester Previous_Hash_Requester Public_Key_Responder Total_Up_Responder Total_Down_Responder Sequence_Number_Responder Previous_Hash_Responder
LDyLYPm9T01ynN30zJr1l4Fy2e4= 6 0 oZESrIqak/6N87bYQPeuQZYnstowMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 22 20 4 3+ZnIbHObXjifNp0Vu4h25IVAcA= 5yLYjoanTmVwfvq7qZUa9UP6bogwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 6 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
LGrX43WJbKCAC+C9h1IMo4ZKlYE= 7 0 ryZy1Bg5Va5cd6W8ofrl9V5SGH8wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 17 5 3 mHkR/MLEUxbqASNKOjIRE+QiF1A= Vggih6NvP1nWyPhVQfT8v2HjSJ8wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 7 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
LLCys3+E7ChAzdwOwepFUspwXJ8= 5 0 8xD21gRFfkKNnNv5KkhfXGfcpBUwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 15 5 3 kOq4CFi+5BtajGeMNg5qJ64sbug= nzl4/aHX/jF9Rgo4ZDlFW4+2kdwwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 5 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
LnYQTzK+udK4b3Utpzp2RFVi4VM= 5 1 oZESrIqak/6N87bYQPeuQZYnstowMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 15 1 2 oLvAUePt9WH85ReVulohzrctbvE= jXlhMuk5rtow77cpU80eJAbrzR0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 1 20 3 oLvAUePt9WH85ReVulohzrctbvE=
NS2xQxE2XSkCMBLj4k8s8r7tKEg= 5 0 YOW16BqrwqNaE2fH0AIvI0BYG5MwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 39 2 5 8fwMN7QuYSJG82ljdblddeyJ7WM= v9X5TukhJ+DLIzTWKBhtyHnGI2swMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 10 1 EfnHL3sANYfnWVK/oXwiun8wKww=
ODx/2i1lAwUW7RZLrB3RJBOOOvQ= 5 0 DgRsKuJHux5vTuwRNSw6OyedTvEwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 12 0 1 AruG+wqHwB96TRZcFMgX6qFgj1c= Znh+URyTIolZs+YGgiYKGyvPm9IwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 5 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
Q+4gVDwTaL4lMUiK/UCsrAwNbBU= 5 0 ryZy1Bg5Va5cd6W8ofrl9V5SGH8wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 22 5 4 LGrX43WJbKCAC+C9h1IMo4ZKlYE= lHFwqpENqUmcmTKBTVKtKr8oFhQwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 5 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA=
RlU6MIYvZZ6LIVvbRA5kP7IFMSw= 5 0 8FTDlnQkqJiv7BFpZPR+eoCqpP0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 17 12 4 54Kwbabx25NjMa1bS8EASc4Aq8Q= 2TuxivKNL9dboeoT3xGLBKDc9SUwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 20 3 vaLyA7evH33GJcBrkHuk0VWW4DQ=
R55PsD36TAOwLwx1UsQ88Imm5Dg= 5 0 oZESrIqak/6N87bYQPeuQZYnstowMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 5 0 0 MDAwMDAwMDAwMDAwMDAwMDAwMDA= jXlhMuk5rtow77cpU80eJAbrzR0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 10 1 8KDz9V2q5lmIOkWhz/zCti5dops=
SRJ60debtnMBlydvXxeQfnlppwg= 5 0 XjEMzVJv+eJj5IxTqGAykRcaircwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 12 0 1 54Kwbabx25NjMa1bS8EASc4Aq8Q= PoKfkNbfsZHCY5vQl2NxrUyerhUwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 5 10 2 bedPHLR949wa0DiTsV96cIWLBUo=
