Block_ID Up Down Public_Key_Requester Total_Up_Requester Total_Down_Requester Sequence_Number_Requester Previous_Hash_Requester Public_Key_Responder Total_Up_Responder Total_Down_Responder Sequence_Number_Responder Previous_Hash_Responder
BjmAQA+Wi9jhFiEf3s5yeWrNaL0= 1 0 ILJmkZasgDoErw242DjsnmkcEo0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 15 8 22 71FQEcLuZC8VvmX9NTNrzuCtgXk= oJk8BxCxM4KysOJUfIkbNcWKbrowMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 13 12 yXRcVYQvtd+K6PW6Ni8Y9Y4/AJU=
BlwgZyPMZ/64ecNc5mOEtOaOF+M= 1 0 lxAhRPCkqhaKyXmNvA8w5CVBY1MwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 22 37 32 W2wH5zaGpQtYUBqoAJveDrTurUY= dgQYj0H0kppfjmUrgoKxWeh3Od8wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 4 19 20 I2gUNXGYOf0FoYbXfGLQvt9tsm8=
BmUoU4vVr8KRhExK9XQ2cwu0Gu4= 1 0 oxEzCJ6qDIe5PcKstcjupq1zKUQwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 44 22 16 pb5BKv5PBF7QLq9eko78RY/vl94= 9nT0PL4tbQc83imK5AohSjfV+VowMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 28 37 42 k9Ter6ssGEJYvjVsJwm9Jw4LItM=
Btw48SHDosuGGmo7NGioUVjNfFU= 1 21 6keQdNKIlTvTthqGDqJBntSUhUYwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 41 33 19 OOtY7HB3P1EcgRMiPv3KTQ9esy0= VV16ofPwNXgTG2Pet/tpiZm8FaIwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 37 2 2 ElUklQXCS1SoZZpsdckZ4TTTpDI=
B3h3udqRixlKxMUg5M6/i55jTvw= 1 0 HB5xvt4lWNqiQI5ZzZ5xCyWdMHkwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 9 0 8 50ziCTJ6y7b9z7iNOm2TROaNltM= bJGILUORqSJyVlrt45ijukaZ2U0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 1 21 21 50ziCTJ6y7b9z7iNOm2TROaNltM=
CJqrdJp40rRMTLwMYJD0ndB2tIY= 1 0 lxAhRPCkqhaKyXmNvA8w5CVBY1MwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 13 12 15 D8jCHLjMkQ19PpS0PpLuNy/h2pE= dgQYj0H0kppfjmUrgoKxWeh3Od8wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 3 13 14 e1bVfZxPjHTxkA1sxDg8WAFuxqk=
CRiOB7kIf09mBzRciG+p14YGxAc= 1 0 1hoJsYZcE/+/eDucWflORoPfq08wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 20 0 14 Vr6SsCgONM8TxfMVT9sEZg6nDds= HaEBqtgrZsLiDB5cK7t5k2ftu0IwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 7 7 11 oQ7+NiqL+r3pK6UIoNQ0XTMeDPM=
CayPFWEEUl4zRKgsT4YRMALmw6U= 1 0 C8PBFLrrtFrYujqCKE4WJvB7Kp4wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 31 1 12 GmL7VdVgv7OvnLdhCCVEqNHlxD8= NZqM/l2d2er3XOVImTDIV7zDZgswMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 18 3 15 C4uo4wv0S7Ur5XQBBuvThHQV/iE=
ChIbvVpdO17sfvqdCWJMZYrArFw= 1 0 ILJmkZasgDoErw242DjsnmkcEo0wMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 2 2 3 yGOpCNE4ynmtvusF34frBnU8LAs= aMcS+guoDmrGofa/WZbdaNNujiYwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 0 8 7 rkDMd03UGPIiyJcHReSM8oLjP8E=
CnWHi0e3Enzq86DD6nHrGWiZigg= 30 1 oxEzCJ6qDIe5PcKstcjupq1zKUQwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 40 21 11 CreiMIGRDS63SCOMbq1GVsv2k7w= a/bEWKwMHEyCtlJyGFz92Y9Qy2YwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDAwMDA= 1 31 1 sAyNzIglS9AzfIRPhjUsbXyqp1U=
